,price,city_name,salon,nb_rooms,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse
302,696000.0,Casablanca,1.0,2.0,2.0,87.0,0,0,0,0,0,0,0,0,0,0,0
303,1050000.0,Casablanca,1.0,2.0,2.0,88.0,1,1,0,0,1,1,0,0,1,1,1
304,2240000.0,Rabat,1.0,3.0,2.0,116.0,0,1,0,1,1,1,0,0,1,1,0
305,790000.0,Casablanca,1.0,3.0,2.0,84.0,1,1,0,0,1,1,0,0,1,1,1
306,1800000.0,Rabat,1.0,2.0,2.0,114.0,1,0,0,0,0,0,0,0,1,0,0
308,1480000.0,Tétouan,3.0,3.0,2.0,134.0,1,1,0,0,1,1,0,0,1,1,0
309,699999.0,Kénitra,2.0,2.0,2.0,100.0,1,1,0,1,1,1,0,0,1,1,0
310,775000.0,Kénitra,2.0,3.0,3.0,111.0,1,1,0,0,1,1,0,0,1,1,0
311,890000.0,Agadir,1.0,2.0,2.0,62.0,0,0,0,0,0,0,0,0,0,0,0
312,780000.0,Casablanca,1.0,1.0,1.0,40.0,1,0,0,1,0,1,0,1,0,1,0
314,590000.0,Martil,1.0,3.0,1.0,89.0,0,0,0,0,0,1,0,0,0,0,1
315,530000.0,El Jadida,1.0,3.0,1.0,68.0,1,1,0,0,0,0,0,0,1,0,1
316,1150000.0,Casablanca,3.0,4.0,2.0,154.0,0,0,0,0,0,0,0,0,0,0,0
317,937000.0,Casablanca,1.0,2.0,2.0,85.0,1,1,0,1,1,1,1,0,1,1,1
318,650000.0,Rabat,1.0,3.0,0.0,101.0,1,0,0,0,0,1,0,0,0,0,0
319,1550000.0,Casablanca,2.0,2.0,1.0,140.0,1,1,0,0,1,1,0,0,0,0,0
320,780000.0,Fnideq,1.0,2.0,1.0,81.0,0,1,1,0,0,1,0,1,0,0,0
321,530000.0,Marrakech,1.0,3.0,1.0,65.0,0,0,0,1,0,1,0,0,0,0,1
322,640000.0,Casablanca,1.0,3.0,1.0,83.0,0,0,0,0,0,0,0,0,1,0,0
323,2000000.0,Casablanca,1.0,3.0,2.0,117.0,1,0,1,1,1,1,0,0,1,1,0
324,550000.0,Tanger,1.0,2.0,1.0,55.0,1,1,0,0,1,1,0,0,0,1,0
325,1360000.0,Casablanca,1.0,2.0,2.0,91.0,1,1,0,0,1,1,0,0,1,1,1
326,1450000.0,Temara,1.0,3.0,2.0,116.0,0,0,0,0,0,0,0,0,0,0,0
327,2200000.0,Casablanca,1.0,3.0,2.0,137.0,1,1,1,1,1,1,0,1,1,1,1
328,1470000.0,Mohammedia,1.0,2.0,1.0,95.0,0,0,0,0,0,0,0,0,0,0,0
329,900000.0,Casablanca,1.0,2.0,1.0,89.0,0,0,0,0,0,0,0,0,0,0,0
330,1800000.0,Marrakech,1.0,2.0,1.0,82.0,0,1,0,1,1,1,0,1,1,1,1
331,630000.0,Kénitra,2.0,2.0,2.0,82.0,1,1,0,1,1,1,0,0,0,1,1
332,632000.0,Casablanca,2.0,2.0,2.0,62.0,1,1,0,0,1,1,0,0,1,1,1
335,890000.0,Casablanca,2.0,2.0,2.0,93.0,1,0,0,0,1,1,0,0,1,0,1
336,1450000.0,Casablanca,1.0,3.0,2.0,120.0,1,1,1,1,1,1,0,0,1,1,1
337,700000.0,Casablanca,1.0,2.0,2.0,81.0,0,0,0,0,0,0,0,0,0,0,1
338,660000.0,Béni Mellal,1.0,3.0,2.0,106.0,0,1,0,0,0,1,0,0,1,1,0
339,1050000.0,Asilah,1.0,2.0,1.0,74.0,1,0,1,1,1,1,0,0,1,1,1
340,680000.0,El Mansouria,1.0,2.0,1.0,68.0,0,1,0,0,1,1,0,0,1,1,1
341,1350000.0,Temara,1.0,3.0,2.0,121.0,1,1,0,1,1,1,0,0,1,1,0
342,870000.0,Agadir,2.0,2.0,2.0,82.0,0,1,0,0,0,1,0,1,1,1,0
343,1180000.0,El Jadida,2.0,3.0,2.0,163.0,0,1,0,0,0,1,0,0,0,1,1
344,1700000.0,Martil,1.0,2.0,2.0,85.0,1,1,1,1,1,1,0,1,1,1,1
345,590000.0,Kénitra,2.0,2.0,2.0,108.0,0,0,0,0,1,1,0,0,0,1,1
346,700000.0,Casablanca,1.0,2.0,2.0,79.0,1,1,0,0,0,0,0,0,1,1,0
347,1990000.0,Casablanca,1.0,2.0,3.0,110.0,1,1,1,1,1,1,0,0,1,1,1
349,890000.0,El Jadida,2.0,3.0,2.0,130.0,0,1,0,0,0,1,0,0,0,0,1
350,890000.0,Had Soualem,1.0,2.0,2.0,98.0,0,0,0,0,0,0,0,0,0,0,0
351,850000.0,Kénitra,1.0,2.0,2.0,80.0,1,1,1,1,1,1,0,0,1,1,1
352,570000.0,El Jadida,1.0,2.0,1.0,70.0,1,0,0,1,0,1,0,0,1,1,1
353,1150000.0,Dar Bouazza,1.0,2.0,1.0,100.0,0,1,0,0,0,0,0,0,1,0,1
354,860000.0,Casablanca,3.0,3.0,2.0,128.0,0,0,0,0,0,0,0,0,0,0,1
355,1500000.0,Rabat,1.0,2.0,1.0,70.0,1,1,0,0,1,0,0,0,1,1,1
356,1240000.0,Casablanca,1.0,2.0,2.0,68.0,1,1,1,1,1,1,0,0,1,1,1
357,1450000.0,Temara,2.0,2.0,2.0,114.0,1,1,0,0,1,1,0,0,1,1,0
358,950000.0,Casablanca,2.0,2.0,1.0,101.0,1,1,0,1,1,1,0,1,1,1,1
359,940000.0,Mohammedia,1.0,2.0,113.0,87.0,0,0,0,0,0,0,0,0,0,1,0
360,295000.0,El Jadida,1.0,2.0,1.0,71.0,0,1,0,0,0,0,0,0,1,0,1
361,1470000.0,Dar Bouazza,1.0,2.0,2.0,116.0,1,1,0,0,0,0,0,0,1,0,1
362,870000.0,Kénitra,1.0,2.0,2.0,84.0,1,1,1,1,1,1,0,0,1,1,1
363,800000.0,Meknès,1.0,2.0,1.0,171.0,1,0,0,1,1,1,0,1,0,1,1
366,240000.0,Fès,1.0,3.0,2.0,72.0,0,1,0,0,0,1,0,0,1,0,0
367,740000.0,Agadir,1.0,2.0,1.0,88.0,1,0,0,0,0,1,0,1,1,1,0
369,950000.0,Casablanca,2.0,2.0,1.0,101.0,1,1,0,1,1,1,0,1,1,1,1
370,650000.0,El Jadida,1.0,2.0,2.0,78.0,1,1,0,0,1,1,0,0,1,1,0
371,510000.0,Casablanca,1.0,2.0,1.0,50.0,0,0,0,0,0,0,0,0,0,0,1
372,1656000.0,Mohammedia,1.0,2.0,2.0,110.0,1,1,1,1,1,1,0,0,1,1,1
374,890000.0,Bouznika,1.0,2.0,2.0,54.0,0,0,0,0,1,0,0,1,1,1,0
375,1400000.0,Rabat,1.0,2.0,2.0,70.0,0,0,0,1,1,1,0,0,1,1,0
376,1250000.0,Casablanca,1.0,3.0,2.0,116.0,1,1,0,1,1,1,0,0,1,1,1
377,970000.0,Agadir,1.0,3.0,2.0,89.0,0,1,0,0,0,1,0,0,0,0,0
378,570000.0,Bouznika,1.0,2.0,1.0,84.0,0,1,0,0,0,1,0,0,0,0,0
380,890000.0,Temara,1.0,2.0,2.0,61.0,0,1,0,0,0,0,0,0,0,0,0
381,890000.0,Agadir,1.0,2.0,2.0,87.0,0,0,0,0,0,0,0,0,0,0,0
382,600000.0,Bouznika,1.0,2.0,1.0,87.0,0,1,0,0,0,1,0,0,0,0,0
383,1250000.0,Martil,1.0,2.0,1.0,70.0,1,1,0,0,1,1,0,0,1,1,1
384,500000.0,Casablanca,1.0,2.0,1.0,54.0,0,0,0,0,0,0,0,0,0,1,1
385,775800.0,Casablanca,1.0,3.0,2.0,78.0,0,0,0,0,0,0,0,0,0,0,0
386,540000.0,Martil,1.0,2.0,2.0,60.0,0,0,0,0,0,0,0,0,0,0,0
387,900000.0,Casablanca,1.0,2.0,1.0,81.0,1,0,1,1,1,1,0,1,1,1,0
388,1500000.0,Casablanca,2.0,2.0,2.0,96.0,1,1,0,1,0,1,0,0,1,1,0
389,300000.0,Casablanca,1.0,2.0,1.0,50.0,0,0,0,0,0,0,0,0,0,0,0
390,890000.0,unkown,1.0,2.0,2.0,88.0,0,0,0,0,0,0,0,0,0,0,0
391,990000.0,Casablanca,1.0,2.0,2.0,96.0,1,0,0,1,1,1,0,0,1,1,1
393,1200000.0,Temara,1.0,3.0,2.0,120.0,0,0,0,0,0,1,0,0,0,0,0
394,270000.0,Tanger,1.0,2.0,1.0,60.0,0,1,0,0,0,0,0,1,0,1,0
396,620000.0,Had Soualem,1.0,3.0,2.0,140.0,0,1,0,0,0,1,0,0,0,0,1
397,740000.0,Salé,1.0,2.0,1.0,72.0,0,1,0,0,1,1,0,0,1,1,0
399,1120000.0,Kénitra,2.0,3.0,2.0,164.0,1,1,0,0,1,1,0,0,1,1,1
400,440000.0,Marrakech,1.0,2.0,1.0,62.0,0,0,0,0,1,0,0,0,1,1,0
401,1200000.0,Casablanca,1.0,1.0,1.0,49.0,1,1,1,1,0,1,0,0,1,1,0
402,740000.0,Bouskoura,1.0,2.0,2.0,84.0,1,1,1,1,1,1,0,0,0,1,1
403,8200.0,Temara,1.0,3.0,2.0,105.0,1,1,0,0,1,1,0,0,1,0,1
404,1400000.0,Casablanca,3.0,3.0,2.0,147.0,1,1,0,0,0,0,0,0,1,1,1
405,800000.0,Casablanca,1.0,3.0,1.0,79.0,0,0,0,0,0,0,0,0,0,0,0
407,360000.0,Tamaris,1.0,2.0,1.0,51.0,0,1,0,0,1,1,0,0,1,1,1
408,11000.0,Casablanca,1.0,2.0,2.0,84.0,1,1,1,1,1,1,0,0,1,1,1
410,840000.0,Casablanca,1.0,2.0,2.0,73.0,0,0,0,0,0,0,0,0,0,0,0
411,700000.0,Agadir,1.0,2.0,1.0,88.0,1,1,0,0,0,1,0,0,0,0,0
412,890000.0,Tamesna,2.0,2.0,2.0,114.0,0,0,0,0,0,0,0,0,0,0,0
413,650000.0,Bouznika,1.0,3.0,1.0,101.0,0,1,0,0,0,1,0,0,0,0,0
414,1570000.0,Casablanca,2.0,2.0,2.0,130.0,1,1,1,1,1,1,0,0,1,1,1
416,1250000.0,Rabat,2.0,2.0,1.0,100.0,0,1,0,0,1,0,0,0,1,1,1
417,1300000.0,Casablanca,2.0,3.0,1.0,108.0,0,0,0,0,0,0,0,0,0,0,0
419,920000.0,Casablanca,1.0,1.0,2.0,75.0,0,0,0,0,0,0,0,0,0,0,0
420,1400000.0,Casablanca,1.0,3.0,2.0,132.0,0,0,0,0,0,0,0,0,0,0,0
421,1780000.0,Casablanca,2.0,3.0,2.0,131.0,1,1,1,1,1,1,0,0,1,1,1
422,200.0,Essaouira,1.0,1.0,1.0,88.0,0,0,0,0,0,0,0,0,0,0,0
423,890000.0,Agadir,1.0,2.0,2.0,47.0,0,0,0,0,0,0,0,0,0,0,0
424,1110000.0,Casablanca,1.0,2.0,2.0,60.0,1,0,0,1,1,1,0,0,1,1,0
425,1500000.0,Dar Bouazza,1.0,2.0,2.0,111.0,1,1,0,0,0,0,0,0,1,0,1
426,402500.0,Casablanca,1.0,2.0,2.0,35.0,0,0,0,0,0,0,0,0,0,0,0
427,1500000.0,Casablanca,2.0,3.0,3.0,124.0,0,0,0,0,0,0,0,0,0,0,0
428,890000.0,Casablanca,2.0,2.0,2.0,109.0,1,1,1,1,1,1,1,0,1,1,1
429,370000.0,Casablanca,1.0,2.0,2.0,62.0,0,0,0,0,0,1,0,0,1,1,0
430,730000.0,Agadir,1.0,2.0,1.0,88.0,0,0,0,0,0,0,0,0,0,1,1
432,890000.0,Mehdia,1.0,2.0,2.0,75.0,1,1,1,1,1,1,0,0,1,1,1
433,890000.0,Mehdia,1.0,2.0,2.0,98.0,1,1,1,1,1,1,0,0,1,1,1
434,890000.0,Casablanca,2.0,2.0,2.0,124.0,0,0,0,0,0,0,0,0,0,0,0
435,890000.0,El Jadida,2.0,2.0,2.0,70.0,0,0,0,0,0,1,0,0,1,1,0
436,890000.0,Mohammedia,2.0,2.0,2.0,111.0,0,1,0,0,0,0,0,0,0,0,0
437,2200000.0,Rabat,1.0,3.0,2.0,116.0,1,1,0,0,1,0,0,0,1,1,1
438,2000000.0,Rabat,3.0,4.0,2.0,100.0,1,0,0,0,0,1,0,0,1,0,0
441,15000.0,Rabat,1.0,3.0,2.0,130.0,0,0,0,0,0,0,0,0,0,0,0
442,890000.0,Mehdia,1.0,2.0,2.0,86.0,1,1,1,1,1,1,0,0,1,1,1
443,890000.0,Mehdia,1.0,2.0,2.0,41.0,0,0,0,0,0,0,0,0,0,0,0
444,580000.0,Kénitra,1.0,2.0,1.0,65.0,1,1,0,0,1,1,0,0,1,1,1
445,920000.0,Casablanca,2.0,2.0,1.0,100.0,0,0,0,0,0,0,0,0,0,0,0
446,720000.0,Temara,1.0,2.0,1.0,75.0,0,1,0,0,0,0,0,0,1,1,1
447,1350000.0,Marrakech,1.0,2.0,2.0,87.0,1,1,1,1,1,1,0,1,1,1,1
448,890000.0,Oujda,1.0,2.0,2.0,90.0,0,0,1,1,0,1,0,0,1,1,0
449,560000.0,Agadir,1.0,2.0,1.0,68.0,0,1,0,0,0,1,0,0,0,0,0
450,1368000.0,Agadir,1.0,3.0,2.0,114.0,1,0,0,0,1,1,0,0,1,0,0
451,820000.0,Salé,1.0,2.0,2.0,81.0,1,1,0,0,1,1,0,0,1,1,1
452,1225000.0,Rabat,2.0,3.0,2.0,118.0,1,1,0,0,1,1,0,0,1,1,1
453,890000.0,Mohammedia,2.0,2.0,2.0,126.0,1,1,1,1,1,1,0,0,1,1,1
454,890000.0,Agadir,2.0,2.0,2.0,87.0,0,0,0,0,0,1,0,0,1,1,0
457,980000.0,Casablanca,1.0,3.0,1.0,80.0,0,0,0,0,0,0,0,0,0,0,0
458,510000.0,Martil,1.0,2.0,1.0,70.0,0,0,0,0,0,0,0,0,0,0,0
459,890000.0,Mehdia,1.0,2.0,2.0,76.0,1,1,1,1,1,1,0,0,1,1,1
460,890000.0,Oued Laou,1.0,2.0,2.0,96.0,1,1,1,1,0,1,0,1,1,0,1
461,890000.0,Cabo Negro,1.0,2.0,2.0,105.0,1,0,1,1,1,1,0,1,1,1,1
462,580000.0,Casablanca,1.0,2.0,1.0,69.0,0,0,0,0,0,0,0,0,0,0,0
463,1300000.0,Casablanca,2.0,3.0,2.0,116.0,1,1,0,1,0,0,0,0,0,1,0
465,2100000.0,Agadir,1.0,2.0,1.0,80.0,1,0,0,1,1,1,0,1,1,1,1
466,1300000.0,Mohammedia,2.0,2.0,3.0,101.0,1,1,0,0,1,1,0,1,1,1,1
467,875000.0,Casablanca,1.0,3.0,2.0,84.0,1,1,0,0,0,1,0,0,1,1,1
468,1350000.0,Cabo Negro,1.0,2.0,1.0,84.0,0,1,0,1,1,1,0,1,1,1,0
470,890000.0,Martil,2.0,2.0,2.0,70.0,0,0,0,0,0,0,0,0,0,0,0
471,890000.0,Agadir,1.0,2.0,1.0,68.0,0,0,1,1,1,1,0,1,1,1,0
472,540000.0,Martil,1.0,2.0,2.0,63.0,0,1,1,0,0,1,0,1,0,1,1
473,890000.0,Saidia,2.0,2.0,2.0,120.0,0,1,0,0,0,0,0,0,0,0,1
474,575000.0,Agadir,1.0,2.0,1.0,64.0,0,1,0,0,1,1,0,0,1,1,1
475,720000.0,Casablanca,1.0,2.0,2.0,78.0,1,1,0,0,0,1,0,0,0,1,0
477,490000.0,Dcheira,1.0,2.0,1.0,52.0,0,0,0,0,0,0,0,0,0,0,0
478,1000000.0,Sidi Rahal,1.0,2.0,1.0,85.0,0,0,0,0,0,0,0,0,0,0,0
479,1150000.0,Casablanca,1.0,2.0,2.0,80.0,0,0,1,1,1,1,0,0,1,1,0
480,837000.0,Casablanca,1.0,2.0,1.0,75.0,1,0,0,1,0,1,0,0,1,0,1
481,1375000.0,Marrakech,1.0,1.0,1.0,55.0,0,0,0,0,0,0,0,0,0,0,0
482,970000.0,Casablanca,1.0,2.0,2.0,91.0,0,0,0,0,0,0,0,0,0,0,0
483,890000.0,Saidia,1.0,2.0,2.0,85.0,0,1,0,0,0,0,0,0,0,0,1
484,1450000.0,Casablanca,1.0,2.0,2.0,112.0,1,1,1,1,1,1,0,0,1,1,0
485,890000.0,Casablanca,1.0,2.0,2.0,71.0,0,0,0,0,0,0,0,0,0,0,0
486,620000.0,Casablanca,2.0,2.0,1.0,81.0,0,0,0,0,0,0,0,0,0,0,0
487,740000.0,Marrakech,1.0,3.0,2.0,130.0,0,1,0,0,0,1,0,0,0,1,0
488,890000.0,Tanger,1.0,2.0,2.0,88.0,1,1,0,0,1,0,0,0,0,1,0
489,1100000.0,Casablanca,1.0,3.0,2.0,116.0,0,0,0,0,0,0,0,0,0,0,0
490,1720000.0,Casablanca,2.0,3.0,3.0,119.0,1,1,1,1,1,1,0,0,1,1,0
491,640000.0,Kénitra,1.0,2.0,2.0,92.0,1,0,1,1,1,1,0,0,1,1,1
492,265000.0,Casablanca,1.0,2.0,1.0,56.0,0,0,0,0,0,0,0,0,0,1,0
493,890000.0,Deroua,1.0,2.0,2.0,74.0,0,0,0,0,0,0,0,0,0,0,0
494,840000.0,Marrakech,1.0,2.0,1.0,84.0,0,0,0,0,0,0,0,0,0,0,0
495,890000.0,Saidia,1.0,2.0,2.0,80.0,0,1,0,0,0,0,0,0,0,0,1
496,460000.0,Casablanca,1.0,2.0,1.0,59.0,0,1,0,0,0,0,0,0,0,0,1
497,1445000.0,Salé,2.0,4.0,2.0,138.0,1,1,0,0,1,1,0,0,1,1,1
498,890000.0,Mehdia,1.0,2.0,2.0,68.0,0,0,0,0,0,0,0,0,0,0,0
499,833000.0,Casablanca,1.0,3.0,2.0,84.0,1,1,0,0,0,1,0,0,1,1,1
501,1590000.0,Tanger,1.0,2.0,2.0,128.0,1,1,0,0,1,0,0,0,1,0,0
502,1300000.0,Temara,0.0,4.0,2.0,100.0,0,1,0,1,0,1,0,1,0,0,0
503,1500000.0,Casablanca,2.0,3.0,2.0,105.0,1,1,1,1,1,1,0,0,1,1,0
504,1500000.0,Casablanca,1.0,3.0,2.0,110.0,1,1,0,1,1,1,0,0,1,0,1
505,1850000.0,Casablanca,2.0,3.0,2.0,149.0,1,1,1,1,1,1,0,0,1,1,1
506,828000.0,Casablanca,1.0,2.0,0.0,72.0,1,0,0,1,0,1,0,0,1,0,1
507,1370000.0,Casablanca,2.0,2.0,2.0,111.0,1,1,1,1,1,1,0,0,1,1,1
508,720000.0,Temara,1.0,2.0,1.0,80.0,0,1,0,0,0,0,0,0,1,1,0
509,870000.0,Asilah,1.0,2.0,2.0,81.0,0,0,0,0,0,0,0,0,0,0,0
510,640000.0,Asilah,1.0,1.0,1.0,52.0,1,1,0,1,1,1,0,0,1,1,1
511,799000.0,Bouskoura,1.0,2.0,2.0,90.0,1,1,1,1,1,1,0,0,1,1,1
512,740000.0,Marrakech,1.0,2.0,2.0,70.0,1,0,1,1,1,1,1,0,0,1,1
513,890000.0,Mehdia,1.0,2.0,2.0,78.0,1,1,1,1,1,1,0,0,1,1,1
514,890000.0,Casablanca,2.0,2.0,2.0,100.0,0,0,0,0,1,0,0,1,1,0,0
515,8200.0,Temara,1.0,3.0,2.0,105.0,1,1,0,0,1,1,0,0,1,0,1
516,950000.0,Temara,1.0,2.0,2.0,93.0,0,1,0,0,0,0,0,0,0,1,0
517,560000.0,Kénitra,1.0,2.0,1.0,65.0,1,1,0,0,1,1,0,0,1,1,1
518,750000.0,Temara,2.0,2.0,2.0,98.0,0,1,0,0,1,1,0,0,0,1,0
520,900000.0,Casablanca,2.0,3.0,2.0,96.0,0,1,0,0,1,1,0,0,1,1,0
521,520000.0,Mohammedia,1.0,2.0,1.0,52.0,0,1,0,0,0,1,0,0,0,0,0
522,1450000.0,Casablanca,1.0,3.0,2.0,105.0,1,0,1,0,1,1,0,0,1,1,0
523,1730000.0,Rabat,1.0,3.0,1.0,126.0,0,1,0,0,1,1,0,0,1,1,1
524,890000.0,Mehdia,1.0,2.0,2.0,80.0,1,1,1,1,1,1,0,0,1,1,1
526,2250000.0,Mohammedia,1.0,2.0,2.0,137.0,1,1,0,1,1,0,0,0,1,1,1
527,1220000.0,Salé,1.0,3.0,2.0,117.0,1,1,0,0,1,1,0,0,1,1,1
528,890000.0,Mehdia,1.0,2.0,2.0,72.0,1,1,1,1,1,1,0,0,1,1,1
529,480000.0,Casablanca,2.0,2.0,1.0,65.0,0,1,1,1,1,1,0,0,0,1,0
530,920000.0,El Jadida,1.0,3.0,2.0,110.0,0,0,0,0,1,1,0,0,1,1,1
531,1280000.0,Casablanca,2.0,2.0,2.0,81.0,0,0,0,0,0,0,0,0,0,0,0
532,1300000.0,Kénitra,2.0,3.0,2.0,172.0,1,1,0,1,1,1,0,0,1,1,1
533,680000.0,Casablanca,2.0,2.0,1.0,74.0,0,1,1,1,1,1,0,0,0,1,0
534,630000.0,Marrakech,2.0,3.0,1.0,90.0,0,0,0,1,0,1,0,0,0,0,1
535,845000.0,Casablanca,1.0,3.0,2.0,84.0,1,1,0,0,0,1,0,0,0,1,1
536,7000.0,Nouaceur,2.0,3.0,2.0,126.0,1,1,0,1,1,1,0,0,1,1,1
537,890000.0,Casablanca,1.0,2.0,2.0,54.0,0,0,0,0,0,0,0,0,0,0,0
538,275000.0,Casablanca,1.0,2.0,1.0,58.0,0,0,0,0,0,1,0,0,0,0,0
539,890000.0,Rabat,1.0,2.0,2.0,50.0,1,1,0,1,0,1,0,0,1,1,1
540,890000.0,Mohammedia,1.0,2.0,2.0,118.0,0,0,0,0,0,0,0,0,0,0,0
541,840000.0,Fès,3.0,3.0,2.0,120.0,0,0,0,0,0,0,0,0,0,0,0
542,720000.0,Casablanca,1.0,2.0,2.0,78.0,1,1,0,0,0,1,0,0,0,1,0
543,1185000.0,Rabat,1.0,3.0,2.0,114.0,1,1,0,0,1,1,0,0,1,1,1
544,1260000.0,Casablanca,2.0,3.0,2.0,121.0,1,0,0,0,0,1,0,0,0,0,1
545,1250000.0,Casablanca,1.0,3.0,1.0,97.0,1,1,0,0,1,1,0,0,1,1,1
546,899999.0,Casablanca,2.0,3.0,2.0,96.0,0,1,0,0,1,1,0,0,1,1,0
547,820000.0,Casablanca,1.0,3.0,1.0,82.0,0,1,0,0,0,1,0,0,1,0,1
548,1110000.0,Casablanca,1.0,3.0,3.0,109.0,1,1,1,1,1,1,0,0,1,1,0
549,1950000.0,Casablanca,2.0,3.0,3.0,150.0,1,0,1,1,1,1,0,0,1,1,1
550,820000.0,Casablanca,1.0,2.0,2.0,90.0,0,1,1,1,0,1,0,0,0,1,1
551,1475000.0,Salé,2.0,4.0,2.0,142.0,1,1,0,0,1,1,0,0,1,1,1
552,890000.0,Tanger,1.0,2.0,2.0,64.0,1,1,0,0,1,1,0,0,1,1,0
553,8000.0,Fès,1.0,3.0,2.0,107.0,0,1,0,0,0,1,0,0,1,1,0
554,1360000.0,Casablanca,2.0,3.0,2.0,125.0,1,1,0,0,1,0,0,0,1,1,1
555,690000.0,Casablanca,1.0,3.0,1.0,95.0,0,0,0,0,0,0,0,0,0,0,0
558,1150000.0,Casablanca,1.0,2.0,1.0,95.0,1,1,1,1,1,1,0,0,1,1,0
559,950000.0,Casablanca,2.0,2.0,2.0,102.0,0,0,0,0,0,0,0,0,0,1,1
560,820000.0,Casablanca,1.0,3.0,2.0,80.0,1,1,0,0,0,1,0,0,0,1,1
561,472000.0,Casablanca,1.0,2.0,1.0,50.0,0,0,0,0,0,0,0,0,0,0,0
562,2200000.0,Rabat,2.0,3.0,2.0,118.0,0,0,0,0,0,0,0,0,0,0,0
563,760000.0,Casablanca,1.0,2.0,1.0,76.0,1,0,0,0,0,0,0,0,1,1,0
564,650000.0,El Jadida,1.0,2.0,2.0,102.0,1,1,0,0,1,1,0,0,1,0,0
565,880000.0,Casablanca,1.0,2.0,2.0,78.0,1,0,1,1,1,1,0,0,1,1,1
566,920000.0,Casablanca,1.0,2.0,2.0,80.0,1,1,0,1,1,1,0,0,1,1,1
567,920000.0,Kénitra,2.0,3.0,2.0,122.0,1,1,1,1,1,1,0,0,1,1,0
568,1100000.0,Casablanca,1.0,2.0,2.0,74.0,1,1,0,0,1,0,0,0,0,0,0
569,840000.0,Casablanca,1.0,1.0,1.0,38.0,1,1,1,1,1,1,0,1,1,1,1
571,1240000.0,Casablanca,2.0,3.0,2.0,109.0,1,1,1,1,1,1,1,0,1,1,1
572,890000.0,Saidia,0.0,2.0,2.0,60.0,0,1,0,0,0,0,0,0,0,0,0
573,1200000.0,Temara,2.0,3.0,2.0,140.0,0,0,0,0,0,0,0,0,1,1,1
574,890000.0,Temara,1.0,2.0,2.0,84.0,0,0,0,0,0,0,0,0,1,0,0
575,890000.0,Cabo Negro,1.0,2.0,2.0,61.0,0,0,0,1,1,1,0,1,1,1,1
576,875000.0,Marrakech,1.0,2.0,2.0,36.0,1,1,0,1,0,0,0,0,1,1,1
577,1150000.0,Casablanca,2.0,2.0,1.0,110.0,0,1,1,1,1,1,0,0,1,1,1
578,1300000.0,Marrakech,1.0,2.0,1.0,92.0,1,1,1,1,1,1,0,1,1,1,1
579,890000.0,Casablanca,1.0,2.0,2.0,79.0,1,1,1,1,1,1,0,0,1,1,0
581,750000.0,Casablanca,1.0,3.0,2.0,69.0,1,1,0,0,0,1,0,0,1,1,0
582,510000.0,Oujda,1.0,3.0,2.0,135.0,0,0,0,0,0,1,0,0,0,1,1
583,1200000.0,Temara,1.0,2.0,2.0,84.0,1,1,0,1,1,1,0,0,1,1,1
584,850000.0,Casablanca,1.0,2.0,2.0,66.0,1,0,0,0,0,1,0,0,1,1,1
585,340000.0,Kénitra,1.0,3.0,1.0,66.0,0,0,0,0,0,0,0,0,0,0,0
586,1250000.0,Tanger,1.0,2.0,2.0,111.0,1,1,1,1,1,1,0,1,1,1,0
587,890000.0,Temara,1.0,2.0,2.0,60.0,0,0,0,0,0,0,0,0,0,0,0
588,890000.0,Saidia,1.0,2.0,2.0,80.0,0,1,0,1,0,1,0,1,0,0,1
589,1050000.0,Mohammedia,1.0,3.0,2.0,106.0,0,0,0,0,0,0,0,0,0,0,0
590,650000.0,Tétouan,1.0,2.0,2.0,76.0,1,0,0,0,0,0,0,0,0,0,1
591,890000.0,Casablanca,1.0,2.0,2.0,60.0,0,0,0,0,0,0,0,0,0,0,0
592,1200000.0,Bouznika,1.0,2.0,2.0,90.0,1,1,0,0,0,1,0,0,0,0,1
593,320000.0,Mohammedia,1.0,2.0,1.0,80.0,0,0,0,0,0,1,0,0,0,1,0
594,890000.0,Temara,1.0,2.0,2.0,95.0,0,0,0,0,0,0,0,0,0,0,0
595,490000.0,Saidia,1.0,2.0,1.0,68.0,0,0,0,0,0,0,0,0,0,0,1
596,490000.0,Saidia,1.0,2.0,1.0,65.0,0,0,0,0,0,0,0,0,0,0,0
597,460000.0,Casablanca,1.0,3.0,1.0,65.0,0,0,0,0,0,0,0,0,0,0,0
598,890000.0,Marrakech,2.0,2.0,2.0,100.0,0,0,0,1,0,1,0,0,0,0,1
600,890000.0,Saidia,1.0,2.0,2.0,80.0,0,0,0,0,0,0,0,0,0,0,1
601,800000.0,Casablanca,2.0,2.0,2.0,84.0,1,1,1,0,1,0,0,0,1,1,0
602,1512000.0,Casablanca,1.0,3.0,2.0,112.0,1,1,0,0,1,1,0,1,1,1,1
603,265000.0,Casablanca,1.0,2.0,1.0,56.0,0,1,0,0,0,0,0,0,0,1,0
604,890000.0,Marrakech,1.0,2.0,2.0,110.0,1,1,1,1,0,1,0,0,1,1,1
605,890000.0,Kénitra,1.0,2.0,2.0,84.0,0,0,0,0,0,0,0,0,0,0,0
606,1400000.0,Temara,1.0,3.0,2.0,84.0,0,0,0,0,1,1,0,0,1,1,0
