,price,city_name,salon,nb_rooms,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse
67,750000.0,Tanger,1.0,2.0,1.0,86.0,0,1,0,0,0,0,0,0,0,0,1
68,1155600.0,Bouskoura,1.0,3.0,2.0,107.0,1,1,0,1,0,1,0,0,1,0,1
69,770000.0,Tanger,1.0,2.0,1.0,69.0,1,1,0,0,0,0,0,0,0,0,1
71,890000.0,Agadir,1.0,2.0,2.0,107.0,0,0,0,0,0,0,0,0,0,0,0
72,1390000.0,Casablanca,2.0,2.0,2.0,128.0,1,1,0,1,1,1,0,0,1,0,0
73,890000.0,Casablanca,2.0,2.0,2.0,105.0,1,0,0,0,1,1,0,0,1,1,0
74,530000.0,Bouznika,1.0,2.0,1.0,74.0,1,1,0,0,0,1,0,0,0,0,1
75,1120000.0,Casablanca,1.0,2.0,1.0,89.0,1,1,0,0,0,0,0,0,0,0,1
76,1500000.0,Casablanca,1.0,2.0,1.0,112.0,1,0,0,0,0,0,0,0,0,0,0
77,815000.0,Bouskoura,1.0,2.0,2.0,82.0,1,1,0,0,1,1,0,0,1,1,1
79,1100000.0,Tanger,1.0,3.0,2.0,105.0,1,1,0,0,0,0,0,0,1,0,1
80,770000.0,Casablanca,1.0,1.0,1.0,49.0,0,0,0,0,0,0,0,0,0,0,0
81,1580000.0,Tanger,1.0,3.0,2.0,112.0,1,1,0,0,0,0,0,0,0,0,1
82,890000.0,Tanger,1.0,2.0,2.0,64.0,0,1,0,0,0,0,0,0,0,0,0
83,939600.0,Casablanca,1.0,2.0,2.0,81.0,1,1,1,1,1,1,0,0,1,1,1
84,960000.0,Tanger,1.0,2.0,1.0,99.0,1,1,0,0,0,0,0,0,0,0,1
85,900000.0,Meknès,1.0,3.0,2.0,129.0,1,1,0,0,0,0,0,0,1,0,1
86,1240000.0,Bouskoura,1.0,3.0,2.0,116.0,1,0,0,1,0,1,0,0,1,0,1
88,14200.0,Casablanca,2.0,3.0,3.0,158.0,0,0,0,0,0,0,0,0,0,0,0
90,890000.0,Casablanca,1.0,2.0,2.0,69.0,1,1,0,0,0,1,0,0,1,1,1
91,1880000.0,Casablanca,1.0,3.0,2.0,132.0,1,1,1,1,1,1,0,0,1,1,0
93,940000.0,Casablanca,2.0,3.0,2.0,107.0,1,1,0,0,1,1,0,0,1,1,0
94,300000.0,Casablanca,1.0,2.0,1.0,50.0,1,1,1,1,1,1,0,0,1,1,1
95,890000.0,Agadir,1.0,2.0,2.0,76.0,0,1,0,1,0,1,0,0,0,0,0
96,740000.0,Marrakech,1.0,2.0,2.0,70.0,1,0,1,1,1,1,1,0,0,1,1
97,790000.0,Bouskoura,1.0,2.0,83.0,83.0,1,1,0,0,1,0,0,0,1,0,0
98,890000.0,El Jadida,2.0,2.0,2.0,120.0,1,1,0,1,1,1,0,0,1,1,1
99,1000000.0,Kénitra,2.0,3.0,3.0,153.0,1,1,0,0,1,1,0,0,1,1,1
100,990000.0,Casablanca,1.0,3.0,110.0,88.0,1,0,0,0,0,0,0,0,0,0,0
102,890000.0,Casablanca,1.0,2.0,2.0,108.0,0,0,0,0,0,0,0,0,0,0,0
103,820000.0,Casablanca,1.0,2.0,1.0,86.0,0,0,0,0,0,0,0,0,0,0,0
104,850000.0,Meknès,2.0,3.0,2.0,160.0,1,1,0,0,1,0,0,0,1,1,0
106,890000.0,Agadir,1.0,2.0,2.0,64.0,0,1,0,1,0,1,0,0,0,0,0
107,930000.0,Agadir,1.0,2.0,2.0,105.0,0,1,0,1,0,1,0,0,0,0,0
108,860000.0,Bouskoura,1.0,2.0,2.0,89.0,1,1,0,0,1,1,0,0,1,1,1
109,800000.0,Casablanca,1.0,3.0,2.0,119.0,1,1,0,0,0,0,0,0,1,1,1
110,890000.0,Agadir,1.0,2.0,2.0,90.0,0,1,0,1,0,1,0,0,0,0,0
111,650000.0,Agadir,1.0,2.0,2.0,67.0,0,0,0,0,0,0,0,0,0,0,0
112,650000.0,El Jadida,1.0,2.0,2.0,78.0,1,1,0,0,1,1,0,0,1,1,0
113,1100000.0,Casablanca,1.0,1.0,1.0,40.0,1,0,0,0,0,0,0,0,0,0,0
114,1360000.0,Casablanca,1.0,2.0,2.0,110.0,1,1,0,0,1,0,0,0,1,0,0
115,1900000.0,Casablanca,1.0,2.0,2.0,105.0,1,1,0,0,0,0,0,0,1,0,1
117,950000.0,Casablanca,2.0,3.0,2.0,105.0,0,1,1,1,1,1,0,0,0,1,0
118,780000.0,Temara,1.0,3.0,2.0,94.0,0,1,1,0,1,1,0,0,1,1,1
119,890000.0,Tanger,1.0,2.0,2.0,54.0,1,0,1,1,1,1,0,1,1,1,1
120,890000.0,El Mansouria,1.0,2.0,2.0,86.0,1,1,1,1,1,1,0,0,1,1,1
121,890000.0,Agadir,1.0,2.0,2.0,75.0,1,0,0,1,0,1,0,0,0,0,0
123,580000.0,Fès,1.0,3.0,2.0,94.0,0,0,0,0,0,0,0,0,0,0,0
124,890000.0,Agadir,1.0,2.0,2.0,97.0,1,1,0,1,1,1,0,0,1,1,1
126,1920000.0,Casablanca,2.0,3.0,2.0,125.0,1,1,1,1,1,1,0,0,1,1,1
127,560000.0,Casablanca,1.0,2.0,1.0,56.0,0,1,1,1,0,1,0,0,0,1,0
129,700000.0,Agadir,1.0,2.0,1.0,71.0,0,0,0,0,0,0,0,0,0,0,0
130,550000.0,Casablanca,2.0,1.0,1.0,57.0,0,1,0,0,0,1,0,0,0,1,0
131,1300000.0,Casablanca,2.0,3.0,2.0,105.0,1,0,1,1,1,1,0,0,1,1,1
132,900000.0,Salé,2.0,2.0,1.0,104.0,0,0,0,0,0,1,0,0,0,1,0
134,790000.0,Casablanca,1.0,3.0,2.0,84.0,1,1,0,0,1,1,0,0,1,1,1
135,500000.0,Agadir,1.0,2.0,1.0,50.0,0,1,0,0,1,1,0,1,1,1,0
136,1370000.0,Casablanca,2.0,4.0,2.0,133.0,0,1,0,1,1,0,1,0,1,1,1
137,1100000.0,Marrakech,1.0,2.0,2.0,85.0,1,1,1,1,1,1,1,0,1,1,1
138,900000.0,Marrakech,1.0,2.0,1.0,93.0,1,0,0,0,0,0,0,0,0,0,0
139,520000.0,Martil,2.0,2.0,1.0,91.0,0,1,0,0,0,1,0,0,0,1,1
140,580000.0,El Jadida,1.0,2.0,1.0,79.0,1,1,0,0,1,1,0,0,1,0,0
141,1400000.0,Casablanca,1.0,3.0,2.0,138.0,1,1,0,0,1,0,0,0,0,1,0
142,1050000.0,Temara,1.0,2.0,2.0,76.0,0,0,0,0,0,0,0,0,0,0,0
143,890000.0,Agadir,1.0,2.0,2.0,92.0,1,1,1,1,0,1,0,0,0,1,0
